gɹæs	kɹas
lɔɹl	lɔɹl
dɹæk	dɹag
suɹp	tʊɹb
βoɹf	boɹf
quɹ	kuɹ
bɹuɹ	pɹʊɹ
nɛɹn	nɛɹn
dɹuɹn	tɹuɹn
bɹip	bɹɪp
dɹus	dɹʊs
βɔɹn	bɔɹn
fik	fɪk
sɹɔɹn	sɹɔɹn
lɹes	lɹes
snuɹf	snuɹf
βoɹp	boɹb
ɸon	pon
dɹɛɹs	tɹɛɹs
snost	snost
fel	fel
lufp	lʊfp
dɹoɹl	tɹoɹl
xa	ka
nɹons	nɹons
sut	sud
lɹæt	lɹad
fɹiɹk	fɹɪɹg
nɹiɹf	nɹiɹf
dɹoɹp	tɹoɹb
nuns	nʊns
nɹut	nɹud
siɹp	tɪɹb
kæl	kal
nɹin	nɹɪn
ɸɶs	pas
snɔɹk	snɔɹg
suɹk	tʊɹg
βɔt	bɔd
fɹuf	fɹʊf
xil	kɪl
suɹp	suɹp
lifp	lifp
sil	tɪl
snofp	snofp
lɹuk	lɹug
bɹɔɹl	pɹɔɹl
ɸɔn	pɔn
ip	ɪp
soɹs	soɹs
ɸɔɹk	pɔɹg
ap	ap
snɔns	snɔns
byfp	bɪfp
ɹuɹn	ɹʊɹn
gæt	gad
nɹuɹp	nɹʊɹp
oɹf	oɹf
xiɹl	kiɹl
fuɹn	fuɹn
fɹen	fɹen
son	son
xin	kɪn
sneɹf	sneɹf
zot	dod
bɹoɹt	bɹoɹt
bɹut	bɹʊt
bɹɛɹk	bɹɛɹk
lɹip	lɹɪp
ut	ʊd
pɸins	pfins
snɛf	snɛf
ɹuk	ɹʊk
pɸiɹp	pfiɹp
niɹs	nɪɹs
fok	fog
snɛp	snɛp
fɹɔɹ	fɹɔɹ
sɛt	sɛt
bɹest	pɹest
fuf	fʊf
dɹuɹk	tɹʊɹg
xil	kil
ɹɛɹt	ɹɛɹd
nɹɔɹn	nɹɔɹn
pɸɔɹs	pfɔɹs
ɛf	ɛf
tsiɹp	tsɪɹb
gɹuɹp	kɹʊɹp
gɹup	gɹʊp
βøɹt	beɹd
ins	ins
xiɹk	kɪɹk
sɔt	sɔd
bɹɔf	pɹɔf
nɹet	nɹed
ɸœn	pɛn
bɹeɹf	bɹeɹf
ɣɛɹk	gɛɹk
ɸus	pus
gɹoɹp	kɹoɹp
βɶp	bab
dɹɔl	dɹɔl
lɹɔɹ	lɹɔɹ
siɹ	siɹ
dɹuɹs	tɹuɹs
pɸiɹt	pfɪɹd
pyp	pɪp
zoɹn	doɹn
snɛɹt	snɛɹd
næp	nap
fɹoɹp	fɹoɹp
siɹp	sɪɹb
kæt	kad
ɣiɹp	gɪɹp
tsi	tsɪ
nɹup	nɹʊp
bɹul	pɹʊl
fɹins	fɹɪns
nɹiɹl	nɹɪɹl
fit	fɪt
dæɹp	daɹb
sniɹs	sniɹs
ɸɶn	pan
